Date Range,Clicks,Impressions,CTR,Position
2025-12-22 - 2025-12-31,10,215,4.65%,10.4
2026-01-01 - 2026-01-31,77,929,8.29%,9.9
2026-02-01 - 2026-02-28,69,792,8.71%,8
2026-03-01 - 2026-03-21,33,496,6.65%,8.4
